Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateContract()";13.6307;13.6307;13.6307;25904;25904;25904;31;34;13.6307001113892;13.6307;13.6307;13.6307;4;4;4;4;1;25904;1.3399;7.6601;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonTypeReflector.GetAttribute()";12.7071;12.7071;12.7071;25904;25904;25904;36;45;12.7071018218994;12.7071;12.7071;12.7071;348;348;348;348;1;25904;0.0145;0.8499;25904;25904;0
"Assembly-CSharp.dll!::TowerBasePrefabLoader.OnDestroy()";11.2417;11.2417;11.2417;26017;26017;26017;10;10;11.2417001724243;11.2417;11.2417;11.2417;1;1;1;1;1;26017;11.2417;11.2417;26017;26017;0
"Assembly-CSharp.dll!::TowerBasePrefabLoader.ReleaseAll()";11.02;11.02;11.02;26017;26017;26017;11;11;11.0199995040894;11.02;11.02;11.02;1;1;1;1;1;26017;11.02;11.02;26017;26017;0
"TimeUpdate.WaitForLastPresentationAndUpdateTime";10.6701;0.0536;19.4476;25636;24774;26187;2;2;19526.9506416805;9.763475;8.9602;11.8193;2000;1;1;1;2000;24216;0.0536;19.4476;24774;26187;12.6268
"GfxDeviceD3D11.WaitForLastPresent";10.6675;0.0515;19.4417;25636;24774;26187;3;3;19519.4735457748;9.759737;8.9574;11.8143;2000;1;1;1;2000;24216;0.0515;19.4417;24774;26187;12.6235
"WaitForTargetFPS";10.667;0.0512;19.4397;25636;24774;26187;4;4;19517.4412320629;9.75872;8.9569;11.8136;2000;1;1;1;2000;24216;0.0512;19.4397;24774;26187;12.6228
"DXGI.WaitOnSwapChain";10.5639;0.002;16.2832;24937;24517;26187;5;5;19187.1408514457;9.593571;8.8518;11.6654;2000;1;1;1;2000;24216;0.002;16.2832;24517;26187;12.5633
"Newtonsoft.Json.dll!Newtonsoft.Json.Utilities::ReflectionUtils.GetAttributes()";10.4706;10.4706;10.4706;25904;25904;25904;38;48;10.4706039428711;10.4706;10.4706;10.4706;487;487;487;487;1;25904;0.01;0.8433;25904;25904;0
"Unity.Addressables.dll!UnityEngine.AddressableAssets::Addressables.Release()";10.3962;10.3962;10.3962;26017;26017;26017;12;12;10.3962001800537;10.3962;10.3962;10.3962;8;8;8;8;1;26017;0.0006;9.4764;26017;26017;0
