Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"UnityEngine.CoreModule.dll!UnityEngine.Events::UnityEventBase.UnityEngine.ISerializationCallbackReceiver.OnBeforeSerialize() [Invoke]";0.3029;0.3029;0.3029;79669;79669;79669;9;9;0.302900016307831;0.3029;0.3029;0.3029;46;46;46;46;1;79669;0.0054;0.0142;79669;79669;0
"Profiler.FlushCounters";0.2919;0.2028;2.1286;79982;79994;79133;1;1;773.857798218727;0.3869289;0.2427;0.4484;2000;1;1;1;2000;79030;0.2028;2.1286;79994;79133;0.4353
"sceneLoadedBeforeAwake.Invoke";0.2915;0.2915;0.2915;79669;79669;79669;10;10;0.291500002145767;0.2915;0.2915;0.2915;1;1;1;1;1;79669;0.2915;0.2915;79669;79669;0
"Physics.RecreateDefaultPhysicsSceneOnSceneLoad";0.2859;0.2859;0.2859;79669;79669;79669;11;11;0.285899996757507;0.2859;0.2859;0.2859;1;1;1;1;1;79669;0.2859;0.2859;79669;79669;0
"Profiler.FlushMemoryCounters";0.2708;0.1889;1.9724;79691;79994;79161;2;2;733.894398152828;0.3669472;0.2253;0.4306;2000;1;1;1;2000;79030;0.1889;1.9724;79994;79161;0.3972
"UnityEngine.UI.dll!UnityEngine.UI::Image.OnCanvasHierarchyChanged() [Invoke]";0.2522999;0.2522999;0.2522999;79669;79669;79669;11;13;0.252299904823303;0.2522999;0.2522999;0.2522999;130;130;130;130;1;79669;0.0007;0.0318;79669;79669;0
"LogStringToConsole";0.2331;0.2331;0.2331;79112;79112;79112;9;9;0.23309999704361;0.2331;0.2331;0.2331;1;1;1;1;1;79112;0.2331;0.2331;79112;79112;0
"RenderPlayModeViewCameras";0.2291;0.15;8.5836;80315;80636;79939;2;2;825.493997424841;0.412747;0.186;0.6405;2001;1;1;2;2000;79030;0.15;8.5836;80636;79939;0.4845
"Physics2D.Step";0.2238;0.0035;0.6526;79302;79753;79086;5;5;40.6241998944897;0.2115844;0.1991;0.249;194;1;1;3;192;79031;0.0035;0.6526;79753;79086;0
"Physics2D.FindNewContacts";0.1986;0.0003;0.5452;79230;79753;79086;6;7;35.6801998429873;0.1858344;0.1852;0.2139;386;2;2;4;192;79031;0;0.5451;79031;79086;0
"RenderForward.RenderLoopJob";0.1817;0.0147;0.7934;79461;79705;79058;7;7;131.088499463163;0.1936315;0.159;0.2136;677;1;1;1;677;79030;0.0147;0.7934;79705;79058;0
"UnityEditor.CoreModule.dll!UnityEditor.Build::BuildPipelineInterfaces.OnSceneProcess() [Invoke]";0.1703;0.1703;0.1703;79669;79669;79669;9;9;0.170300006866455;0.1703;0.1703;0.1703;1;1;1;1;1;79669;0.1703;0.1703;79669;79669;0
"TMP Layout Text";0.1639;0.0569;0.8553;79122;79230;79126;7;7;35.2299997583032;0.1638605;0.1122;0.184;884;5;1;7;215;79030;0.0185;0.3938;79057;79126;0
"Assembly-CSharp.dll!::TowerWeapon.OnDisable() [Invoke]";0.1608;0.1608;0.1608;79669;79669;79669;13;13;0.160799980163574;0.1608;0.1608;0.1608;77;77;77;77;1;79669;0.0003;0.0351;79669;79669;0
"UnityEditor.CoreModule.dll!UnityEditor::MaterialEditor.ApplyMaterialPropertyDrawersFromNative() [Invoke]";0.154;0.154;0.1593;79034;79034;79076;9;9;0.313299998641014;0.15665;0.154;0.154;2;1;1;1;2;79034;0.154;0.1593;79034;79076;0
"UnityEditor.CoreModule.dll!UnityEditor::EditorApplication.BuildMainWindowTitle() [Invoke]";0.152;0.152;0.152;79669;79669;79669;8;8;0.151999995112419;0.152;0.152;0.152;1;1;1;1;1;79669;0.152;0.152;79669;79669;0
"Camera.Render";0.1493;0.1005;1.6693;80115;80726;79184;3;3;589.274598486722;0.2946373;0.1233;0.4772;2001;1;1;2;2000;79030;0.1005;1.6693;80726;79184;0.323
"UnityEngine.CoreModule.dll!UnityEngine::StackTraceUtility.ExtractStackTrace() [Invoke]";0.1341;0.1341;0.1341;79112;79112;79112;10;10;0.134100005030632;0.1341;0.1341;0.1341;1;1;1;1;1;79112;0.1341;0.1341;79112;79112;0
"CollectGameObjects";0.1244;0.1244;0.1244;79669;79669;79669;10;10;0.12440000474453;0.1244;0.1244;0.1244;3;3;3;3;1;79669;0.009;0.1036;79669;79669;0
"TMP.GenerateText";0.115;0.0571;0.3665;79034;79031;79112;9;9;0.894500002264977;0.223625;0.0571;0.3559;13;2;1;5;4;79031;0.0339;0.1502;79112;79669;0
"Update.ScriptRunBehaviourUpdate";0.1091;0.0412;1.406;80848;81025;79324;3;3;378.979199122638;0.1894896;0.0695;0.3213;2000;1;1;1;2000;79030;0.0412;1.406;81025;79324;0.0598
"BehaviourUpdate";0.1086;0.0409;1.4043;80775;81025;79324;4;4;377.709199026227;0.1888546;0.0691;0.3207;2000;1;1;1;2000;79030;0.0409;1.4043;81025;79324;0.0596
"BatchRenderer.Flush";0.1084;0.0036;0.4784001;79071;79705;79058;8;8;77.7628044257872;0.1148638;0.09839999;0.1231;17216;24;1;45;677;79030;0.0001;0.1478;79030;79344;0
"Assembly-CSharp.dll!::TowerWeapon.AttackLoop() [Coroutine: MoveNext] [Invoke]";0.0987;0.0027;0.4469;79084;79331;79061;5;7;9.96349997469224;0.1107056;0.0925;0.1176;176;2;1;3;90;79030;0.0017;0.4048;79082;79075;0
"Unity.TextMeshPro.dll!TMPro::TextMeshProUGUI.OnCanvasHierarchyChanged() [Invoke]";0.09569999;0.09569999;0.09569999;79669;79669;79669;11;13;0.0956999883055687;0.09569999;0.09569999;0.09569999;56;56;56;56;1;79669;0.0007;0.0053;79669;79669;0
"UnityEngine.UI.dll!UnityEngine.UI::Slider.OnDisable() [Invoke]";0.0955;0.0941;0.106;79112;79034;79031;11;11;0.29559999704361;0.09853333;0.0941;0.0955;3;1;1;1;3;79031;0.0941;0.106;79034;79031;0
"Assembly-CSharp.dll!::Tower.Update() [Invoke]";0.09030001;0.05830001;0.4133002;79095;79379;79165;5;5;63.6750037707388;0.09964789;0.08510002;0.0979;49203;77;77;77;639;79030;0.0005;0.1756;79197;79144;0
"GameObject.AddComponent";0.0901;0.0718;0.1093;79076;79034;79669;6;10;0.271199986338615;0.0904;0.0718;0.0901;115;3;3;109;3;79034;0;0.0872;79669;79669;0
"UnityEngine.UI.dll!UnityEngine.UI::Graphic.OnDestroy() [Invoke]";0.08530003;0.08530003;0.08530003;79669;79669;79669;11;11;0.0853000283241272;0.08530003;0.08530003;0.08530003;56;56;56;56;1;79669;0.0009;0.0055;79669;79669;0
